oid,x,y,target
ZTF17aadmidf,0.15011433,0.1872865,E
ZTF17aadqpnu,0.52533114,0.5150466,RRL
ZTF18aapkwuy,0.46864998,0.47973222,RRL
ZTF18aajoeri,0.4040613,0.44526637,RRL
ZTF18adaiqlm,0.19461603,0.12350803,E
ZTF18acsmpoh,0.4905434,0.16028266,RRL
ZTF18adaudsr,0.67175585,0.077216715,LPV
ZTF18abvtifv,0.0699163,0.1285234,E
ZTF18abviquo,0.5329035,0.2969931,RRL
ZTF17aabxpfh,0.41434687,0.5417453,DSCT
ZTF18acagzaa,0.49213994,0.5482344,RRL
ZTF18abryqkd,0.15471055,0.40208256,E
ZTF18aabcbwe,0.18777408,0.4029804,E
ZTF18abbycbo,0.8290573,0.19481944,RRL
ZTF18aayeaho,0.85289335,0.09491584,LPV
ZTF17aabshmd,0.23625799,0.44303325,E
ZTF18aabpzej,0.27534366,0.38896972,E
ZTF19aacabqi,0.30894792,0.056833684,E
ZTF17aabviiw,0.45877844,0.33910862,RRL
ZTF18abskqtt,0.51926106,0.24207485,RRL
ZTF18abeiyfj,0.18864578,0.08755969,RRL
ZTF18abmpncd,0.11578655,0.15376326,E
ZTF18abmlygd,0.5076411,0.3979114,RRL
ZTF18aairecz,0.23574454,0.24920706,E
ZTF18abwkuvp,0.06337859,0.017852258,E
ZTF18aajsgml,0.5332768,0.49693507,RRL
ZTF17aabwhsf,0.08208631,0.006412085,E
ZTF18abbxymh,0.3417641,0.15422107,RRL
ZTF18aceiewe,0.4642892,0.18698737,RRL
ZTF18absuwqi,0.21081184,0.20308398,E
ZTF18acebvoc,0.077069946,0.44223103,E
ZTF17aaapkds,0.34264755,0.5486766,E
ZTF19aafnnyx,0.92791677,0.06256567,LPV
ZTF18abvgciz,0.9797004,0.32902563,LPV
ZTF18abnnbyp,0.09925052,0.15046088,E
ZTF18abmqjdl,0.039408546,0.110083185,RRL
ZTF18aabgkbi,0.28158966,0.43717143,RRL
ZTF18acsjibs,0.2716806,0.15157984,E
ZTF18abjlwyr,0.123872735,0.41541484,E
ZTF18actwxiz,0.3021102,0.17791976,E
ZTF18abcosfz,0.54387856,0.3809961,RRL
ZTF18aberbwo,0.3140044,0.13788141,E
ZTF17aaahepx,0.33145702,0.5947897,E
ZTF19abjjyvh,0.16036856,0.43782926,E
ZTF19aaaqnsl,0.34554735,0.16701946,RRL
ZTF18aabmrpo,0.25844753,0.55652845,E
ZTF18acegbsn,0.2142424,0.16198643,E
ZTF18aakdzfd,0.09766885,0.2083177,E
ZTF18absnwva,0.101776145,0.30236366,E
ZTF17aaaiqrw,0.29501313,0.42258644,E
ZTF18acqyksu,0.083873175,0.012526605,Periodic-Other
ZTF18acytayd,0.20005631,0.2115825,E
ZTF18aaylcro,0.245466,0.15486805,RRL
ZTF18abjhwdk,0.14513887,0.13441446,E
ZTF18acwwnfx,0.23066737,0.15385431,E
ZTF18aavynte,0.9209273,0.032680504,LPV
ZTF17aabuklc,0.35611004,0.14025512,RRL
ZTF19aauvfpe,0.21493316,0.13473739,RRL
ZTF18acrvejb,0.22660632,0.2597532,E
ZTF17aaaiqql,0.27363357,0.5193837,E
ZTF19aaylizt,0.8493912,0.1527932,LPV
ZTF18abcxiqh,0.19769244,0.19396357,E
ZTF18aagrfwa,0.28005546,0.31817016,RRL
ZTF18abocgbs,0.1890796,0.15855095,E
ZTF18abdrunr,0.9247492,0.09387602,LPV
ZTF17aabotyu,0.25032836,0.39569166,E
ZTF18aazmmhq,0.25487316,0.52940416,E
ZTF18abctzkx,0.24380016,0.2394736,E
ZTF18adallyq,0.48770013,0.24608983,RRL
ZTF18abtjkii,0.16353282,0.14894432,E
ZTF18ablhpip,0.5356788,0.4823705,RRL
ZTF18adalnbn,0.224255,0.15108398,RRL
ZTF18abcodgd,0.3841651,0.47934115,RRL
ZTF18acuextu,0.2560313,0.26518282,E
ZTF17aabukmg,0.29807624,0.5859417,E
ZTF17aacempk,0.56897753,0.48602468,RRL
ZTF19aayxvop,0.1862733,0.1470991,RRL
ZTF18adccbzz,0.19188173,0.33919123,RRL
ZTF18abnbjum,0.24824601,0.19697076,RRL
ZTF18acvwbhl,0.2296452,0.3244759,E
ZTF18ablhpjk,0.35017335,0.37809625,E
ZTF18absupvk,0.07364737,0.10112912,Periodic-Other
ZTF19aairfak,0.18022941,0.13033555,E
ZTF19aabzumc,0.37922376,0.2016634,RRL
ZTF18aabexyo,0.23391105,0.5486943,E
ZTF19aatyrhd,0.10247456,0.115084656,E
ZTF17aacjysr,0.20340806,0.17960861,E
ZTF18ablqdqg,0.18945703,0.28175542,E
ZTF18acxyhvo,0.22116491,0.1964609,RRL
ZTF18aabfdtt,0.15139517,0.030160442,E
ZTF18abbwsda,0.5581422,0.5187471,RRL
