oid,x,y,target
ZTF17aabxpfh,0.6322845,0.38041413,DSCT
ZTF18acqyksu,0.45688507,0.48840842,Periodic-Other
ZTF18absupvk,0.4194625,0.51956916,Periodic-Other
ZTF18absvbuc,0.4391501,0.5039575,CEP
ZTF19aaexhiw,0.5128731,0.40547803,DSCT
ZTF17aaagzbt,0.62864715,0.3994056,DSCT
ZTF18aaumbri,0.49623075,0.43242314,DSCT
ZTF19aadowxs,0.46610183,0.4668487,CEP
ZTF18achrpjg,0.53557163,0.39171162,Periodic-Other
ZTF17aaakgyo,0.6621883,0.3739306,CEP
ZTF18aahfats,0.39206183,0.411002,Periodic-Other
ZTF18aaafruj,0.53358346,0.41149062,DSCT
ZTF18aavauuw,0.3091217,0.48075438,Periodic-Other
ZTF18aacazjm,0.561594,0.45150164,Periodic-Other
ZTF17aabdglt,0.5347932,0.40546387,CEP
ZTF18abwkuxl,0.46024662,0.46664956,Periodic-Other
ZTF18aajrdae,0.45478404,0.5042014,Periodic-Other
ZTF18abnclgq,0.4857214,0.45315647,Periodic-Other
ZTF18aagrhtb,0.523109,0.44719076,DSCT
ZTF18acuwvfh,0.5026913,0.3936419,Periodic-Other
ZTF17aadiglq,0.54214674,0.37922564,Periodic-Other
ZTF18abxdipb,0.4200487,0.47456563,Periodic-Other
ZTF18aboqubz,0.6434728,0.38527337,DSCT
ZTF18acyyhtu,0.5189033,0.39547718,CEP
ZTF18abjrfdd,0.2613242,0.437684,CEP
ZTF18abayiew,0.53611046,0.47508812,CEP
ZTF18accldbe,0.017833639,0.6549658,Periodic-Other
ZTF17aaagvnm,0.63258743,0.37708274,CEP
ZTF17aabuwgb,0.65155053,0.3820036,CEP
ZTF18acqiout,0.6274967,0.43997946,Periodic-Other
ZTF17aadhorv,0.32113895,0.41845235,Periodic-Other
ZTF18acvwnha,0.42641568,0.48219967,DSCT
ZTF18aakdszt,0.55433863,0.3931598,DSCT
ZTF17aaatljm,0.6396313,0.4145231,CEP
ZTF18aamgtid,0.26037005,0.4373584,Periodic-Other
ZTF18acvgzre,0.4829171,0.40824553,Periodic-Other
ZTF18aazzeui,0.56384635,0.40636408,Periodic-Other
ZTF18aaumebu,0.45583692,0.43542486,Periodic-Other
ZTF18aagrgkx,0.28620365,0.48618743,Periodic-Other
ZTF19aauxgmj,0.48107308,0.43052584,Periodic-Other
ZTF17aaagygm,0.48595902,0.43111938,Periodic-Other
ZTF18abajuom,0.39345556,0.55671847,DSCT
ZTF18abgcnrf,0.4788522,0.38937855,CEP
ZTF18ablqguz,0.34686133,0.4850489,Periodic-Other
