oid,x,y,target
ZTF17aadmidf,0.55802447,0.48328903,E
ZTF17aadqpnu,0.6337115,0.5027102,RRL
ZTF18aapkwuy,0.64951766,0.50156015,RRL
ZTF18aajoeri,0.643254,0.5108693,RRL
ZTF18adaiqlm,0.514869,0.46325538,E
ZTF18acsmpoh,0.53328395,0.4616498,RRL
ZTF18adaudsr,0.406934,0.3845482,LPV
ZTF18abvtifv,0.5494544,0.4676141,E
ZTF18abviquo,0.60026014,0.5007078,RRL
ZTF17aabxpfh,0.617724,0.4915512,DSCT
ZTF18acagzaa,0.6152739,0.49270007,RRL
ZTF18abryqkd,0.59206575,0.48089167,E
ZTF18aabcbwe,0.6096419,0.4913303,E
ZTF18abbycbo,0.5339829,0.48564792,RRL
ZTF18aayeaho,0.37293974,0.7658732,LPV
ZTF17aabshmd,0.6474086,0.5169941,E
ZTF18aabpzej,0.60564625,0.5031323,E
ZTF19aacabqi,0.52049273,0.45828244,E
ZTF17aabviiw,0.5754056,0.47990304,RRL
ZTF18abskqtt,0.5513696,0.4825142,RRL
ZTF18abeiyfj,0.5121523,0.4536585,RRL
ZTF18abmpncd,0.57954127,0.48405907,E
ZTF18abmlygd,0.6357237,0.50814253,RRL
ZTF18aairecz,0.6080325,0.49986365,E
ZTF18abwkuvp,0.5358263,0.44422218,E
ZTF18aajsgml,0.64541876,0.5033032,RRL
ZTF17aabwhsf,0.57624394,0.456553,E
ZTF18abbxymh,0.57239014,0.4817715,RRL
ZTF18aceiewe,0.5481568,0.48002073,RRL
ZTF18absuwqi,0.5682961,0.49072176,E
ZTF18acebvoc,0.58434355,0.46207762,E
ZTF17aaapkds,0.614126,0.4867302,E
ZTF19aafnnyx,0.34260535,0.40001145,LPV
ZTF18abvgciz,0.5768369,0.6813892,LPV
ZTF18abnnbyp,0.5113769,0.46204275,E
ZTF18abmqjdl,0.5018965,0.45392954,RRL
ZTF18aabgkbi,0.6480695,0.5145595,RRL
ZTF18acsjibs,0.53223103,0.4767116,E
ZTF18abjlwyr,0.5655001,0.47250414,E
ZTF18actwxiz,0.55116534,0.48973435,E
ZTF18abcosfz,0.6464934,0.51816505,RRL
ZTF18aberbwo,0.57591146,0.4905114,E
ZTF17aaahepx,0.5977695,0.48729074,E
ZTF19abjjyvh,0.62504274,0.505199,E
ZTF19aaaqnsl,0.55138034,0.4836598,RRL
ZTF18aabmrpo,0.6158899,0.48814446,E
ZTF18acegbsn,0.5587926,0.4812793,E
ZTF18aakdzfd,0.53927225,0.47606495,E
ZTF18absnwva,0.5622532,0.47212684,E
ZTF17aaaiqrw,0.63829166,0.5082177,E
ZTF18acqyksu,0.55021256,0.45965227,Periodic-Other
ZTF18acytayd,0.5763178,0.48787916,E
ZTF18aaylcro,0.5192993,0.47749156,RRL
ZTF18abjhwdk,0.5087086,0.45477453,E
ZTF18acwwnfx,0.533655,0.47612396,E
ZTF18aavynte,0.42830926,0.42584562,LPV
ZTF17aabuklc,0.5368363,0.46041527,RRL
ZTF19aauvfpe,0.5233583,0.46500483,RRL
ZTF18acrvejb,0.61603403,0.5126677,E
ZTF17aaaiqql,0.62929696,0.49532375,E
ZTF19aaylizt,0.61859065,0.6653396,LPV
ZTF18abcxiqh,0.59881186,0.5026127,E
ZTF18aagrfwa,0.6269627,0.49751705,RRL
ZTF18abocgbs,0.5769792,0.5002408,E
ZTF18abdrunr,0.5267151,0.624692,LPV
ZTF17aabotyu,0.61504287,0.50603664,E
ZTF18aazmmhq,0.64025295,0.48688766,E
ZTF18abctzkx,0.61245286,0.50576437,E
ZTF18adallyq,0.58210593,0.4903866,RRL
ZTF18abtjkii,0.56612015,0.49000686,E
ZTF18ablhpip,0.6341435,0.503242,RRL
ZTF18adalnbn,0.5686502,0.49187216,RRL
ZTF18abcodgd,0.648338,0.5129207,RRL
ZTF18acuextu,0.6205493,0.5081365,E
ZTF17aabukmg,0.60882473,0.48216167,E
ZTF17aacempk,0.6332442,0.5034539,RRL
ZTF19aayxvop,0.5340843,0.4840364,RRL
