oid,x,y,target
ZTF17aadmidf,0.2472597,0.2792345,E
ZTF17aadqpnu,0.040975984,0.8258697,RRL
ZTF18aapkwuy,0.031100271,0.7585721,RRL
ZTF18aajoeri,0.0201676,0.7052457,RRL
ZTF18adaiqlm,0.53681225,0.19486296,E
ZTF18acsmpoh,0.49281555,0.59264004,RRL
ZTF18adaudsr,0.5897442,0.27251992,LPV
ZTF18abvtifv,0.36859673,0.15689547,E
ZTF18abviquo,0.050415482,0.899724,RRL
ZTF17aabxpfh,0.0057475287,0.759189,DSCT
ZTF18acagzaa,0.070985995,0.7547508,RRL
ZTF18abryqkd,0.17482737,0.3584183,E
ZTF18aabcbwe,0.15892068,0.37607166,E
ZTF18abbycbo,0.45291442,0.59660435,RRL
ZTF18aayeaho,0.50868225,0.76269805,LPV
ZTF17aabshmd,0.05575246,0.35908562,E
ZTF18aabpzej,0.002020494,0.61467314,E
ZTF19aacabqi,0.39604998,0.53197396,E
ZTF17aabviiw,0.287138,0.55283684,RRL
ZTF18abskqtt,0.3907841,0.57669896,RRL
ZTF18abeiyfj,0.54862833,0.19617145,RRL
ZTF18abmpncd,0.35934696,0.18977831,E
ZTF18abmlygd,0.0064185015,0.8936123,RRL
ZTF18aairecz,0.27376533,0.3565639,E
ZTF18abwkuvp,0.29953286,0.252146,E
ZTF18aajsgml,0.016740402,0.84980357,RRL
ZTF17aabwhsf,0.21299995,0.43083024,E
ZTF18abbxymh,0.43614596,0.47233728,RRL
ZTF18aceiewe,0.41894117,0.55639243,RRL
ZTF18absuwqi,0.30482242,0.29108796,E
ZTF18acebvoc,0.12916362,0.2849858,E
ZTF17aaapkds,0.12420022,0.55950433,E
ZTF19aafnnyx,0.49109685,0.7958194,LPV
ZTF18abvgciz,0.30158913,0.7320496,LPV
ZTF18abnnbyp,0.36408427,0.21199939,E
ZTF18abmqjdl,0.44913828,0.1664894,RRL
ZTF18aabgkbi,0.024658548,0.5396043,RRL
ZTF18acsjibs,0.4563835,0.39364603,E
ZTF18abjlwyr,0.16802195,0.36164197,E
ZTF18actwxiz,0.39672703,0.45803177,E
ZTF18abcosfz,0.0041230577,0.9338432,RRL
ZTF18aberbwo,0.4889854,0.41398105,E
ZTF17aaahepx,0.21280794,0.4531991,E
ZTF19abjjyvh,0.12728108,0.2865017,E
ZTF19aaaqnsl,0.43355533,0.47280893,RRL
ZTF18aabmrpo,0.16296546,0.41369078,E
ZTF18acegbsn,0.36835995,0.34304458,E
ZTF18aakdzfd,0.2906971,0.2154737,E
ZTF18absnwva,0.21275954,0.24730934,E
ZTF17aaaiqrw,0.0074076937,0.62785673,E
ZTF18acqyksu,0.21349798,0.43723008,Periodic-Other
ZTF18acytayd,0.2589778,0.3524868,E
ZTF18aaylcro,0.42558548,0.3682917,RRL
ZTF18abjhwdk,0.4263316,0.17627175,E
