oid,x,y,target
ZTF17aadmidf,0.19420946,0.37793496,E
ZTF17aadqpnu,0.44024807,0.46121466,RRL
ZTF18aapkwuy,0.31563726,0.21272384,RRL
ZTF18aajoeri,0.46648055,0.43611404,RRL
ZTF18adaiqlm,0.46294895,0.44642794,E
ZTF18acsmpoh,0.5145874,0.7016227,RRL
ZTF18adaudsr,0.43373597,0.11840604,LPV
ZTF18abvtifv,0.16435078,0.41017497,E
ZTF18abviquo,0.4774878,0.45018342,RRL
ZTF17aabxpfh,0.13587327,0.44348755,DSCT
ZTF18acagzaa,0.33854228,0.20125663,RRL
ZTF18abryqkd,0.14252087,0.2483709,E
ZTF18aabcbwe,0.123374395,0.21953274,E
ZTF18abbycbo,0.29732352,0.43706042,RRL
ZTF18aayeaho,0.6686564,0.671958,LPV
ZTF17aabshmd,0.17503941,0.23246077,E
ZTF18aabpzej,0.24814273,0.63299775,E
ZTF19aacabqi,0.11471234,0.33846486,E
ZTF17aabviiw,0.26976824,0.14032598,RRL
ZTF18abskqtt,0.41092086,0.44869995,RRL
ZTF18abeiyfj,0.116072066,0.35467267,RRL
ZTF18abmpncd,0.14432633,0.2672622,E
ZTF18abmlygd,0.44957012,0.5630897,RRL
ZTF18aairecz,0.28739443,0.6927223,E
ZTF18abwkuvp,0.15669261,0.05654975,E
ZTF18aajsgml,0.45717666,0.48901418,RRL
ZTF17aabwhsf,0.2981216,0.22806445,E
ZTF18abbxymh,0.45835882,0.531968,RRL
ZTF18aceiewe,0.26752335,0.16819502,RRL
ZTF18absuwqi,0.10738611,0.071424745,E
ZTF18acebvoc,0.18858519,0.08543409,E
ZTF17aaapkds,0.058638547,0.10182615,E
ZTF19aafnnyx,0.73771274,0.35499352,LPV
ZTF18abvgciz,0.80188125,0.27075064,LPV
ZTF18abnnbyp,0.10278063,0.28929162,E
ZTF18abmqjdl,0.28081787,0.7679666,RRL
ZTF18aabgkbi,0.27421817,0.5239353,RRL
ZTF18acsjibs,0.30220085,0.8051477,E
ZTF18abjlwyr,0.12511759,0.119876824,E
ZTF18actwxiz,0.42875278,0.38488197,E
ZTF18abcosfz,0.462179,0.5936507,RRL
ZTF18aberbwo,0.36113456,0.22791395,E
ZTF17aaahepx,0.15032098,0.065106936,E
ZTF19abjjyvh,0.09488273,0.07137978,E
ZTF19aaaqnsl,0.6013772,0.62684184,RRL
ZTF18aabmrpo,0.09216717,0.062392525,E
ZTF18acegbsn,0.39387405,0.70089793,E
ZTF18aakdzfd,0.05592067,0.09430963,E
ZTF18absnwva,0.1198217,0.27699172,E
ZTF17aaaiqrw,0.05046173,0.5833682,E
ZTF18acqyksu,0.44443506,0.29306096,Periodic-Other
ZTF18acytayd,0.13887836,0.35375673,E
